dim_horizon,model_name,0,0.5,1,1.5,2,2.5,3
5,UNet,0.276 ± 0.004,0.357 ± 0.004,0.550 ± 0.006,0.706 ± 0.007,0.802 ± 0.007,0.855 ± 0.008,1.018 ± 0.010
5,GSTUNet,0.329 ± 0.004,0.348 ± 0.004,0.388 ± 0.004,0.389 ± 0.004,0.416 ± 0.005,0.425 ± 0.005,0.504 ± 0.005
5,STCINet,0.286 ± 0.003,0.386 ± 0.005,0.624 ± 0.005,0.807 ± 0.006,0.960 ± 0.008,1.081 ± 0.009,1.081 ± 0.009
5,IPWUNet,0.601 ± 0.006,0.582 ± 0.006,0.610 ± 0.005,0.582 ± 0.006,0.576 ± 0.007,0.639 ± 0.006,0.588 ± 0.007
10,UNet,0.275 ± 0.003,0.604 ± 0.003,1.177 ± 0.004,1.454 ± 0.004,1.698 ± 0.004,1.735 ± 0.004,1.710 ± 0.004
10,GSTUNet,0.382 ± 0.004,0.533 ± 0.004,0.643 ± 0.004,0.815 ± 0.004,0.852 ± 0.004,0.851 ± 0.005,0.849 ± 0.005
10,STCINet,0.307 ± 0.002,0.699 ± 0.003,1.218 ± 0.004,1.505 ± 0.004,1.748 ± 0.004,1.800 ± 0.004,2.022 ± 0.005
10,IPWUNet,0.814 ± 0.008,0.771 ± 0.004,0.990 ± 0.004,1.064 ± 0.003,0.939 ± 0.004,1.150 ± 0.004,1.041 ± 0.003
